2019-10-05 03:26:12 INFO  ComandoRetirar:46 - Cuentamodelo.Cuenta@9807454,retiro500
2019-10-05 03:34:13 INFO  ComandoListarCuentas:27 - cuentas listadas
2019-10-05 03:34:28 INFO  ComandoRetirar:46 - Cuenta: 1,retiro: 500
2019-10-05 03:35:51 INFO  ComandoListarCuentas:27 - cuentas listadas
2019-10-05 03:35:54 INFO  ComandoListarCuentas:27 - cuentas listadas
2019-10-05 03:48:53 INFO  ComandoListarCuentas:27 - cuentas listadas
2019-10-05 03:55:04 INFO  ComandoListarCuentas:27 - cuentas listadas
2019-10-05 03:55:12 INFO  ComandoRetirar:46 - Cuenta: 1,retiro: 50
2019-10-05 04:04:45 INFO  ComandoListarCuentas:27 - cuentas listadas
2019-10-05 04:04:53 INFO  ComandoConsignar:46 - Cuenta: 1,consigno: 40
2019-10-05 04:31:33 INFO  logTranx:8 - Ejecutando : execution(void AppCajero.main(String[]))
2019-10-05 04:31:34 INFO  logTranx:8 - Ejecutando : execution(void modelo.Banco.agregarCuenta(Cuenta))
2019-10-05 04:31:34 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 04:31:34 INFO  logTranx:8 - Ejecutando : execution(void modelo.Banco.agregarCuenta(Cuenta))
2019-10-05 04:31:34 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 04:31:34 INFO  logTranx:8 - Ejecutando : execution(void modelo.Banco.agregarCuenta(Cuenta))
2019-10-05 04:31:34 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 04:31:34 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoListarCuentas.getNombre())
2019-10-05 04:31:34 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoRetirar.getNombre())
2019-10-05 04:31:34 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoConsignar.getNombre())
2019-10-05 04:31:34 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoTransferir.getNombre())
2019-10-05 05:11:42 INFO  logTranx:8 - Ejecutando : execution(void AppCajero.main(String[]))
2019-10-05 05:11:42 INFO  logTranx:8 - Ejecutando : execution(void modelo.Banco.agregarCuenta(Cuenta))
2019-10-05 05:11:42 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:11:42 INFO  logTranx:8 - Ejecutando : execution(void modelo.Banco.agregarCuenta(Cuenta))
2019-10-05 05:11:42 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:11:42 INFO  logTranx:8 - Ejecutando : execution(void modelo.Banco.agregarCuenta(Cuenta))
2019-10-05 05:11:42 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
